province,cityname,lon,lat
青海省,西宁,101.48,36.38
青海省,德令哈,97.23,37.22
青海省,格尔木,94.55,36.26
山东省,济南,117,36.4
山东省,安丘,119.12,36.25
山东省,滨州,118.02,37.22
山东省,昌邑,119.24,39.52
山东省,德州,116.17,37.26
山东省,东营,118.3,37.27
山东省,肥城,116.46,36.14
山东省,高密,119.44,36.22
山东省,菏泽,115.26,35.14
山东省,胶南,119.58,35.53
山东省,胶州,120,36.17
山东省,即墨,120.28,36.22
山东省,济宁,116.33,35.23
山东省,莱芜,117.4,36.12
山东省,莱西,120.31,36.52
山东省,莱阳,120.42,36.58
山东省,莱州,119.57,37.1
山东省,乐陵,117.12,37.44
山东省,聊城,115.57,36.26
山东省,临清,115.42,36.51
山东省,临沂,118.2,35.03
山东省,龙口,120.21,37.39
山东省,蓬莱,120.45,37.48
山东省,平度,119.58,36.47
山东省,青岛,120.18,36.03
山东省,青州,118.28,36.42
山东省,曲阜,116.58,35.36
山东省,日照,119.32,35.23
山东省,荣成,122.25,37.1
山东省,乳山,121.31,36.54
山东省,寿光,118.44,36.53
山东省,泰安,117.08,36.11
山东省,滕州,117.09,35.06
山东省,潍坊,119.06,36.43
山东省,威海,122.07,37.31
山东省,文登,122.03,37.12
山东省,新泰,117.45,35.54
山东省,烟台,121.24,37.32
山东省,兖州,116.49,35.32
山东省,禹城,116.39,36.56
山东省,枣庄,117.33,34.52
山东省,章丘,117.32,36.43
山东省,招远,120.23,37.21
山东省,诸城,119.24,35.59
山东省,淄博,118.03,36.48
山东省,邹城,116.58,35.24
山西省,太原,112.33,37.54
山西省,长治,113.06,36.11
山西省,大同,113.17,40.06
山西省,高平,112.55,35.48
山西省,古交,112,37.54
