countryname	lon	lat
山西黎城	113.4	36.56
山西壶关	113.23	35.11
山西高平	112.88	35.48
山西阳城	112.38	35.84
山西长子	112.87	36.13
山西沁源	112.32	36.5
山西潞城	113.22	36.33
山西武乡	112.83	36.83
山西平顺	113.43	36.19
山西陵川	113.27	35.78
山西晋城	112.83	35.52
山西沁水	112.15	35.67
山西屯留	112.87	36.32
山西沁县	112.68	36.75
山西临汾	111.5	36.08
山西汾西	111.53	36.63
山西安泽	112.2	36.15
山西古县	111.9	36.29
山西翼城	111.68	35.73
山西曲沃	111.33	35.63
山西吉县	110.65	36.12
山西大宁	110.72	36.47
山西侯马	111.45	35.03
山西永和	110.64	36.62
山西洪洞	111.68	36.25
山西霍县	111.72	36.57
山西浮山	111.83	35.97
山西襄汾	111.43	35.86
山西乡宁	110.8	35.97
山西蒲县	111.07	36.42
山西运城	110.97	35.03
山西闻喜	111.2	35.37
山西垣曲	111.63	35.3
山西芮城	110.68	34.71
山西临猗	110.78	35.15
山西新绛	111.22	35.62
山西河津	110.7	35.58
山西夏县	111.22	35.12
山西绛县	111.58	35.48
山西平陆	111.2	34.12
山西永济	110.42	34.88
山西万荣	110.83	35.42
山西稷山	110.97	35.6
广东广州	113.23	23.16
广东花县	113.19	23.4
广东新十	114.2	24.09
广东增城	113.81	23.13
广东从化	113.55	23.57
广东龙门	114.25	23.75
广东番禺	113.36	22.95
广东海口	110.35	20.02
广东汕头	116.69	23.39
广东洪江	110.38	21.2
广东茂名	110.88	21.68
广东佛山	113.11	23.05
广东江门	113.06	22.61
广东深圳	114.07	22.62
广东宝安	113.85	22.58
广东珠海	113.52	22.3
广东韶关	113.62	24.84
广东曲江	113.58	24.68
广东乐昌	113.35	25.14
广东仁化	113.73	25.11
广东南雄	114.33	25.14
广东始兴	114.08	24.78
广东翁源	114.13	24.36
广东佛岗	113.52	23.86
广东英德	113.38	24.17
广东清远	113.01	23.7
广东阳山	112.65	24.48
广东连县	112.4	24.77
广东连山	112.07	24.59
广东连南	112.28	24.77
广东惠州	114.4	23.09
广东惠阳	114.4	23.09
广东博罗	114.28	23.18
广东河源	114.68	23.73
广东连平	114.48	24.39
广东和平	114.89	24.45
广东龙川	115.25	24.09
广东紫金	115.18	23.64
广东惠东	114.7	22.97
广东东莞	113.75	23.04
广东梅州	116.1	24.55
广东梅县	116.1	24.55
广东平远	117.9	24.59
广东蕉岭	116.18	24.66
广东大埔	116.7	24.34
广东丰顺	116.18	23.78
广东五华	115.75	23.93
广东兴宁	115.75	24.15
广东潮州	116.63	23.68
广东澄海	116.8	23.48
广东潮安	116.63	23.68
广东饶平	117.01	23.7
广东南澳	117.03	23.44
广东潮阳	116.61	23.27
广东惠来	116.29	23.07
广东陆丰	117.64	22.95
广东海丰	117.33	22.98
广东普宁	116.17	23.29
广东揭西	115.82	23.45
广东揭阳	116.35	23.55
广东南海	113.11	23.05
广东三水	112.89	23.18
广东顺德	113.24	22.84
广东中山	113.38	22.52
广东斗门	113.25	22.2
广东新会	113.02	22.52
广东鹤山	112.94	22.76
广东开平	112.68	22.36
广东台山	112.78	22.27
广东恩平	112.29	22.21
广东高明	112.76	21.71
广东廉江	110.27	21.63
广东化州	110.59	21.64
广东高州	110.83	21.95
广东信宜	110.9	22.36
广东阳春	111.78	22.16
广东阳江	111.95	21.85
